# GENERATED by .claude/skills/cook/tools/fetch-legacy-bases.lua - do not hand-edit
# Bases PoB still ships that the game does not have: poewiki drop_enabled=0, plus
# the NO_WIKI_ROW calls in the fetch tool. dump-bases.lua reads this file offline;
# rerun the fetch tool only after a PoB base-data update.
# fetched 2026-08-12 from poewiki, 1118 wiki rows, 0 PoB names unaccounted for (kept as live)
# name	class
Ashscale Talisman	Amulet
Avian Twins Talisman	Amulet
Avian Twins Talisman (Cold-To-Fire)	Amulet
Avian Twins Talisman (Cold-To-Lightning)	Amulet
Avian Twins Talisman (Fire-To-Cold)	Amulet
Avian Twins Talisman (Fire-To-Lightning)	Amulet
Avian Twins Talisman (Lightning-To-Cold)	Amulet
Bonespire Talisman	Amulet
Breakrib Talisman	Amulet
Chrysalis Talisman	Amulet
Clutching Talisman	Amulet
Deadhand Talisman	Amulet
Deep One Talisman	Amulet
Fangjaw Talisman	Amulet
Hexclaw Talisman	Amulet
Horned Talisman	Amulet
Jet Amulet	Amulet
Lone Antler Talisman	Amulet
Longtooth Talisman	Amulet
Mandible Talisman	Amulet
Monkey Paw Talisman	Amulet
Monkey Paw Talisman (Frenzy)	Amulet
Monkey Paw Talisman (Power)	Amulet
Monkey Twins Talisman	Amulet
Primal Skull Talisman	Amulet
Rot Head Talisman	Amulet
Rotfeather Talisman	Amulet
Ruby Amulet	Amulet
Spinefuse Talisman	Amulet
Splitnewt Talisman	Amulet
Three Hands Talisman	Amulet
Three Rat Talisman	Amulet
Undying Flesh Talisman	Amulet
Wereclaw Talisman	Amulet
Writhing Talisman	Amulet
Golden Obi	Belt
Mechalarm Belt	Belt
Golden Mantle	Body Armour
Golden Caligae	Boots
Ethereal Bow	Bow
Hedron Bow	Bow
Shadow Fangs	Claw
Ethereal Blade	Dagger
Flickerflame Blade	Dagger
Hollowpoint Dagger	Dagger
Golden Bracers	Gloves
Aegis Tulgraft	Graft
Battering Uulgraft	Graft
Draining Eshgraft	Graft
Erupting Xophgraft	Graft
Flamecaller Xophgraft	Graft
Freezing Tulgraft	Graft
Hardening Uulgraft	Graft
Impaling Uulgraft	Graft
Jolting Eshgraft	Graft
Molten Xophgraft	Graft
Replicating Eshgraft	Graft
Spiking Uulgraft	Graft
Squalling Tulgraft	Graft
Stoking Xophgraft	Graft
Storming Eshgraft	Graft
Summoning Tulgraft	Graft
Golden Wreath	Helmet
Corvine Charm	Jewel
Lupine Charm	Jewel
Ursine Charm	Jewel
Maltreatment Axe	One Handed Axe
Flare Mace	One Handed Mace
Energy Blade One Handed	One Handed Sword
Fickle Spiritblade	One Handed Sword
Ghostflame Blade	One Handed Sword
Random One Hand Sword	One Handed Sword
Conductive Quiver	Quiver
Cured Quiver	Quiver
Heavy Quiver	Quiver
Light Quiver	Quiver
Rugged Quiver	Quiver
Breach Ring	Ring
Golden Hoop	Ring
Jet Ring	Ring
Ring	Ring
Endothermic Buckler	Shield
Exhausting Spirit Shield	Shield
Exothermic Tower Shield	Shield
Golden Flame	Shield
Capacity Rod	Staff
Transformer Staff	Staff
Prime Cleaver	Two Handed Axe
Blunt Force Condenser	Two Handed Mace
Energy Blade Two Handed	Two Handed Sword
Keyblade	Two Handed Sword
Random Two Hand Sword	Two Handed Sword
Rebuking Blade	Two Handed Sword
Assembler Wand	Wand
Carved Wand	Wand
Engraved Wand	Wand
Imbued Wand	Wand
